# run: n=3, Nk=30, M-point grid (include_M=True), nv=nc=2, raw BSE, state=0
# TB: hoppings x0.70, eps_Bp=1.508, eps0(BSE)=2.80 ; Eg=2.1783 eV, Eb=183.0 meV
# model: W(k) = 2*pi*a0^2 / (1 + a0^2 k^2/4)^3 / (Nk^2 a^2)   [normalized, sum_k W=1]
# --- fit results ---
# a0_linear = 32.7038 A   a_BZ=a0/2 = 16.3519 A   r=sqrt(3/2)a_BZ = 20.0269 A
# a0_log    = 41.3537 A   a_BZ=a0/2 = 20.6768 A   r=sqrt(3/2)a_BZ = 25.3239 A
# a0_peak   = 32.5760 A  (from peak height W(M)=0.18666)
# a_BZ_moment = 17.6177 A   (direct second moment; r_Eq29=sqrt(3/2)a_BZ=21.5772 A)
# hydrogenicity invariant R = 0.8547  (=1 if true 2D 1s)
# --- columns ---
# abs_dk[1/A]    W_k(BSE)      W_fit_linear   W_fit_log
    0.179026   1.465384e-04   2.146556e-04   9.464633e-05
    0.179026   1.465384e-04   2.146556e-04   9.464633e-05
    0.179026   1.465942e-04   2.146556e-04   9.464633e-05
    0.179026   1.465810e-04   2.146556e-04   9.464633e-05
    0.179026   1.465810e-04   2.146556e-04   9.464633e-05
    0.179026   1.465942e-04   2.146556e-04   9.464633e-05
    0.188059   7.683191e-05   1.645557e-04   7.180955e-05
    0.188059   7.679485e-05   1.645557e-04   7.180955e-05
    0.188059   7.681322e-05   1.645557e-04   7.180955e-05
    0.188059   7.681322e-05   1.645557e-04   7.180955e-05
    0.193846   7.269937e-05   1.395328e-04   6.052829e-05
    0.193846   7.269937e-05   1.395328e-04   6.052829e-05
    0.193846   7.268734e-05   1.395328e-04   6.052829e-05
    0.193846   7.268734e-05   1.395328e-04   6.052829e-05
    0.193846   7.272417e-05   1.395328e-04   6.052829e-05
    0.193846   7.271185e-05   1.395328e-04   6.052829e-05
    0.193846   7.271185e-05   1.395328e-04   6.052829e-05
    0.193846   7.272417e-05   1.395328e-04   6.052829e-05
    0.199466   1.156685e-04   1.193367e-04   5.149157e-05
    0.199466   1.156685e-04   1.193367e-04   5.149157e-05
    0.199466   1.157174e-04   1.193367e-04   5.149157e-05
    0.199466   1.157174e-04   1.193367e-04   5.149157e-05
    0.202218   9.693531e-05   1.106892e-04   4.764256e-05
    0.202218   9.693975e-05   1.106892e-04   4.764256e-05
    0.202218   9.693975e-05   1.106892e-04   4.764256e-05
    0.202218   9.693531e-05   1.106892e-04   4.764256e-05
    0.202218   9.698214e-05   1.106892e-04   4.764256e-05
    0.202218   9.697756e-05   1.106892e-04   4.764256e-05
    0.202218   9.698214e-05   1.106892e-04   4.764256e-05
    0.202218   9.697756e-05   1.106892e-04   4.764256e-05
    0.210256   6.088887e-05   8.927803e-05   3.816963e-05
    0.210256   6.089537e-05   8.927803e-05   3.816963e-05
    0.210256   6.089537e-05   8.927803e-05   3.816963e-05
    0.210256   6.088887e-05   8.927803e-05   3.816963e-05
    0.210256   6.092468e-05   8.927803e-05   3.816963e-05
    0.210256   6.091798e-05   8.927803e-05   3.816963e-05
    0.210256   6.092468e-05   8.927803e-05   3.816963e-05
    0.210256   6.091798e-05   8.927803e-05   3.816963e-05
