# MAPbI3 n=3 superfluid scan | Eg=2.178282 eV  Ex=1.991594 eV  binding=186.7 meV | density n = G_DEG * INT d2k/(2pi)^2 f_c (Kramers degeneracy G_DEG=2)
# target_n=7.000e+12 cm^-2  n=7.242389e+12 cm^-2  dmu=2.057600 eV  inverted
# kx_invA  omega_eV  A_kw
-3.000000e-01 -6.275930e-01 5.365878e-01
-2.850000e-01 -6.275930e-01 5.230872e-01
-2.700000e-01 -6.275930e-01 5.076044e-01
-2.550000e-01 -6.275930e-01 4.900775e-01
-2.400000e-01 -6.275930e-01 4.704742e-01
-2.250000e-01 -6.275930e-01 4.488018e-01
-2.100000e-01 -6.275930e-01 4.251178e-01
-1.950000e-01 -6.275930e-01 3.995487e-01
-1.800000e-01 -6.275930e-01 3.723165e-01
-1.650000e-01 -6.275930e-01 3.437526e-01
-1.500000e-01 -6.275930e-01 3.142756e-01
-1.350000e-01 -6.275930e-01 2.842941e-01
-1.200000e-01 -6.275930e-01 2.539543e-01
-1.050000e-01 -6.275930e-01 2.225697e-01
-9.000000e-02 -6.275930e-01 1.877667e-01
-7.500000e-02 -6.275930e-01 1.471101e-01
-6.000000e-02 -6.275930e-01 1.070455e-01
-4.500000e-02 -6.275930e-01 7.908387e-02
-3.000000e-02 -6.275930e-01 6.374793e-02
-1.500000e-02 -6.275930e-01 5.649879e-02
5.551115e-17 -6.275930e-01 5.437940e-02
1.500000e-02 -6.275930e-01 5.649879e-02
3.000000e-02 -6.275930e-01 6.374793e-02
4.500000e-02 -6.275930e-01 7.908387e-02
6.000000e-02 -6.275930e-01 1.070455e-01
7.500000e-02 -6.275930e-01 1.471101e-01
9.000000e-02 -6.275930e-01 1.877667e-01
1.050000e-01 -6.275930e-01 2.225697e-01
1.200000e-01 -6.275930e-01 2.539543e-01
1.350000e-01 -6.275930e-01 2.842941e-01
1.500000e-01 -6.275930e-01 3.142756e-01
1.650000e-01 -6.275930e-01 3.437526e-01
1.800000e-01 -6.275930e-01 3.723165e-01
1.950000e-01 -6.275930e-01 3.995487e-01
2.100000e-01 -6.275930e-01 4.251178e-01
2.250000e-01 -6.275930e-01 4.488018e-01
2.400000e-01 -6.275930e-01 4.704742e-01
2.550000e-01 -6.275930e-01 4.900775e-01
2.700000e-01 -6.275930e-01 5.076044e-01
2.850000e-01 -6.275930e-01 5.230872e-01
3.000000e-01 -6.275930e-01 5.365878e-01
-3.000000e-01 -6.139287e-01 5.787229e-01
-2.850000e-01 -6.139287e-01 5.636355e-01
