# MAPbI3 n=3 superfluid scan | Eg=2.178282 eV  Ex=1.991594 eV  binding=186.7 meV | density n = G_DEG * INT d2k/(2pi)^2 f_c (Kramers degeneracy G_DEG=2)
# target_n=1.000e+13 cm^-2  n=1.025981e+13 cm^-2  dmu=2.087600 eV  inverted
# kx_invA  omega_eV  A_kw
-3.000000e-01 -6.275930e-01 5.307482e-01
-2.850000e-01 -6.275930e-01 5.171873e-01
-2.700000e-01 -6.275930e-01 5.015247e-01
-2.550000e-01 -6.275930e-01 4.837014e-01
-2.400000e-01 -6.275930e-01 4.636871e-01
-2.250000e-01 -6.275930e-01 4.414960e-01
-2.100000e-01 -6.275930e-01 4.171979e-01
-1.950000e-01 -6.275930e-01 3.909273e-01
-1.800000e-01 -6.275930e-01 3.628966e-01
-1.650000e-01 -6.275930e-01 3.333961e-01
-1.500000e-01 -6.275930e-01 3.027368e-01
-1.350000e-01 -6.275930e-01 2.710514e-01
-1.200000e-01 -6.275930e-01 2.377656e-01
-1.050000e-01 -6.275930e-01 2.005299e-01
-9.000000e-02 -6.275930e-01 1.557078e-01
-7.500000e-02 -6.275930e-01 1.087797e-01
-6.000000e-02 -6.275930e-01 7.532735e-02
-4.500000e-02 -6.275930e-01 5.720212e-02
-3.000000e-02 -6.275930e-01 4.817813e-02
-1.500000e-02 -6.275930e-01 4.401114e-02
5.551115e-17 -6.275930e-01 4.279755e-02
1.500000e-02 -6.275930e-01 4.401114e-02
3.000000e-02 -6.275930e-01 4.817813e-02
4.500000e-02 -6.275930e-01 5.720212e-02
6.000000e-02 -6.275930e-01 7.532735e-02
7.500000e-02 -6.275930e-01 1.087797e-01
9.000000e-02 -6.275930e-01 1.557078e-01
1.050000e-01 -6.275930e-01 2.005299e-01
1.200000e-01 -6.275930e-01 2.377656e-01
1.350000e-01 -6.275930e-01 2.710514e-01
1.500000e-01 -6.275930e-01 3.027368e-01
1.650000e-01 -6.275930e-01 3.333961e-01
1.800000e-01 -6.275930e-01 3.628966e-01
1.950000e-01 -6.275930e-01 3.909273e-01
2.100000e-01 -6.275930e-01 4.171979e-01
2.250000e-01 -6.275930e-01 4.414960e-01
2.400000e-01 -6.275930e-01 4.636871e-01
2.550000e-01 -6.275930e-01 4.837014e-01
2.700000e-01 -6.275930e-01 5.015247e-01
2.850000e-01 -6.275930e-01 5.171873e-01
3.000000e-01 -6.275930e-01 5.307482e-01
-3.000000e-01 -6.139287e-01 5.721971e-01
-2.850000e-01 -6.139287e-01 5.570517e-01
-2.700000e-01 -6.139287e-01 5.395850e-01
-2.550000e-01 -6.139287e-01 5.197437e-01
-2.400000e-01 -6.139287e-01 4.975084e-01
-2.250000e-01 -6.139287e-01 4.729119e-01
-2.100000e-01 -6.139287e-01 4.460514e-01
-1.950000e-01 -6.139287e-01 4.170978e-01
-1.800000e-01 -6.139287e-01 3.863095e-01
-1.650000e-01 -6.139287e-01 3.540325e-01
-1.500000e-01 -6.139287e-01 3.206381e-01
-1.350000e-01 -6.139287e-01 2.863113e-01
-1.200000e-01 -6.139287e-01 2.504969e-01
-1.050000e-01 -6.139287e-01 2.107838e-01
-9.000000e-02 -6.139287e-01 1.634113e-01
-7.500000e-02 -6.139287e-01 1.140906e-01
-6.000000e-02 -6.139287e-01 7.900701e-02
-4.500000e-02 -6.139287e-01 6.001142e-02
-3.000000e-02 -6.139287e-01 5.055968e-02
-1.500000e-02 -6.139287e-01 4.619862e-02
5.551115e-17 -6.139287e-01 4.492931e-02
1.500000e-02 -6.139287e-01 4.619862e-02
3.000000e-02 -6.139287e-01 5.055968e-02
4.500000e-02 -6.139287e-01 6.001142e-02
6.000000e-02 -6.139287e-01 7.900701e-02
7.500000e-02 -6.139287e-01 1.140906e-01
9.000000e-02 -6.139287e-01 1.634113e-01
1.050000e-01 -6.139287e-01 2.107838e-01
1.200000e-01 -6.139287e-01 2.504969e-01
1.350000e-01 -6.139287e-01 2.863113e-01
1.500000e-01 -6.139287e-01 3.206381e-01
1.650000e-01 -6.139287e-01 3.540325e-01
1.800000e-01 -6.139287e-01 3.863095e-01
1.950000e-01 -6.139287e-01 4.170978e-01
2.100000e-01 -6.139287e-01 4.460514e-01
2.250000e-01 -6.139287e-01 4.729119e-01
2.400000e-01 -6.139287e-01 4.975084e-01
2.550000e-01 -6.139287e-01 5.197437e-01
2.700000e-01 -6.139287e-01 5.395850e-01
2.850000e-01 -6.139287e-01 5.570517e-01
3.000000e-01 -6.139287e-01 5.721971e-01
-3.000000e-01 -6.002645e-01 6.186192e-01
-2.850000e-01 -6.002645e-01 6.016366e-01
-2.700000e-01 -6.002645e-01 5.820824e-01
-2.550000e-01 -6.002645e-01 5.599111e-01
-2.400000e-01 -6.002645e-01 5.351182e-01
-2.250000e-01 -6.002645e-01 5.077603e-01
-2.100000e-01 -6.002645e-01 4.779682e-01
-1.950000e-01 -6.002645e-01 4.459570e-01
-1.800000e-01 -6.002645e-01 4.120398e-01
-1.650000e-01 -6.002645e-01 3.766279e-01
-1.500000e-01 -6.002645e-01 3.401621e-01
-1.350000e-01 -6.002645e-01 3.028879e-01
-1.200000e-01 -6.002645e-01 2.642735e-01
-1.050000e-01 -6.002645e-01 2.218436e-01
-9.000000e-02 -6.002645e-01 1.717053e-01
-7.500000e-02 -6.002645e-01 1.198112e-01
-6.000000e-02 -6.002645e-01 8.298028e-02
-4.500000e-02 -6.002645e-01 6.305496e-02
-3.000000e-02 -6.002645e-01 5.314797e-02
-1.500000e-02 -6.002645e-01 4.858130e-02
5.551115e-17 -6.002645e-01 4.725317e-02
1.500000e-02 -6.002645e-01 4.858130e-02
3.000000e-02 -6.002645e-01 5.314797e-02
4.500000e-02 -6.002645e-01 6.305496e-02
6.000000e-02 -6.002645e-01 8.298028e-02
7.500000e-02 -6.002645e-01 1.198112e-01
9.000000e-02 -6.002645e-01 1.717053e-01
1.050000e-01 -6.002645e-01 2.218436e-01
1.200000e-01 -6.002645e-01 2.642735e-01
1.350000e-01 -6.002645e-01 3.028879e-01
1.500000e-01 -6.002645e-01 3.401621e-01
1.650000e-01 -6.002645e-01 3.766279e-01
1.800000e-01 -6.002645e-01 4.120398e-01
1.950000e-01 -6.002645e-01 4.459570e-01
2.100000e-01 -6.002645e-01 4.779682e-01
2.250000e-01 -6.002645e-01 5.077603e-01
2.400000e-01 -6.002645e-01 5.351182e-01
2.550000e-01 -6.002645e-01 5.599111e-01
2.700000e-01 -6.002645e-01 5.820824e-01
2.850000e-01 -6.002645e-01 6.016366e-01
3.000000e-01 -6.002645e-01 6.186192e-01
-3.000000e-01 -5.866002e-01 6.708286e-01
-2.850000e-01 -5.866002e-01 6.517046e-01
-2.700000e-01 -5.866002e-01 6.297224e-01
-2.550000e-01 -5.866002e-01 6.048476e-01
-2.400000e-01 -5.866002e-01 5.770955e-01
-2.250000e-01 -5.866002e-01 5.465528e-01
-2.100000e-01 -5.866002e-01 5.133920e-01
-1.950000e-01 -5.866002e-01 4.778815e-01
-1.800000e-01 -5.866002e-01 4.404002e-01
-1.650000e-01 -5.866002e-01 4.014356e-01
-1.500000e-01 -5.866002e-01 3.615093e-01
-1.350000e-01 -5.866002e-01 3.209362e-01
-1.200000e-01 -5.866002e-01 2.792123e-01
-1.050000e-01 -5.866002e-01 2.337957e-01
-9.000000e-02 -5.866002e-01 1.806515e-01
-7.500000e-02 -5.866002e-01 1.259847e-01
-6.000000e-02 -5.866002e-01 8.727951e-02
-4.500000e-02 -5.866002e-01 6.635992e-02
-3.000000e-02 -5.866002e-01 5.596812e-02
-1.500000e-02 -5.866002e-01 5.118370e-02
5.551115e-17 -5.866002e-01 4.979355e-02
