# MAPbI3 n=3 superfluid scan | Eg=2.178282 eV  Ex=1.991594 eV  binding=186.7 meV | density n = G_DEG * INT d2k/(2pi)^2 f_c (Kramers degeneracy G_DEG=2)
# target_n=6.000e+11 cm^-2  n=6.123266e+11 cm^-2  dmu=1.996600 eV  BEC
# kx_invA  omega_eV  A_kw
-3.000000e-01 -6.275930e-01 5.488973e-01
-2.850000e-01 -6.275930e-01 5.355787e-01
-2.700000e-01 -6.275930e-01 5.205786e-01
-2.550000e-01 -6.275930e-01 5.038004e-01
-2.400000e-01 -6.275930e-01 4.851701e-01
-2.250000e-01 -6.275930e-01 4.646519e-01
-2.100000e-01 -6.275930e-01 4.422719e-01
-1.950000e-01 -6.275930e-01 4.181454e-01
-1.800000e-01 -6.275930e-01 3.925055e-01
-1.650000e-01 -6.275930e-01 3.657266e-01
-1.500000e-01 -6.275930e-01 3.383336e-01
-1.350000e-01 -6.275930e-01 3.109839e-01
-1.200000e-01 -6.275930e-01 2.844146e-01
-1.050000e-01 -6.275930e-01 2.593518e-01
-9.000000e-02 -6.275930e-01 2.363890e-01
-7.500000e-02 -6.275930e-01 2.158420e-01
-6.000000e-02 -6.275930e-01 1.976041e-01
-4.500000e-02 -6.275930e-01 1.811872e-01
-3.000000e-02 -6.275930e-01 1.665393e-01
-1.500000e-02 -6.275930e-01 1.555240e-01
5.551115e-17 -6.275930e-01 1.513348e-01
1.500000e-02 -6.275930e-01 1.555240e-01
3.000000e-02 -6.275930e-01 1.665393e-01
4.500000e-02 -6.275930e-01 1.811872e-01
6.000000e-02 -6.275930e-01 1.976041e-01
7.500000e-02 -6.275930e-01 2.158420e-01
9.000000e-02 -6.275930e-01 2.363890e-01
1.050000e-01 -6.275930e-01 2.593518e-01
1.200000e-01 -6.275930e-01 2.844146e-01
1.350000e-01 -6.275930e-01 3.109839e-01
1.500000e-01 -6.275930e-01 3.383336e-01
1.650000e-01 -6.275930e-01 3.657266e-01
1.800000e-01 -6.275930e-01 3.925055e-01
1.950000e-01 -6.275930e-01 4.181454e-01
2.100000e-01 -6.275930e-01 4.422719e-01
2.250000e-01 -6.275930e-01 4.646519e-01
2.400000e-01 -6.275930e-01 4.851701e-01
2.550000e-01 -6.275930e-01 5.038004e-01
2.700000e-01 -6.275930e-01 5.205786e-01
2.850000e-01 -6.275930e-01 5.355787e-01
3.000000e-01 -6.275930e-01 5.488973e-01
-3.000000e-01 -6.139287e-01 5.924922e-01
-2.850000e-01 -6.139287e-01 5.775893e-01
-2.700000e-01 -6.139287e-01 5.608283e-01
-2.550000e-01 -6.139287e-01 5.421107e-01
-2.400000e-01 -6.139287e-01 5.213645e-01
-2.250000e-01 -6.139287e-01 4.985630e-01
-2.100000e-01 -6.139287e-01 4.737500e-01
-1.950000e-01 -6.139287e-01 4.470695e-01
-1.800000e-01 -6.139287e-01 4.187963e-01
-1.650000e-01 -6.139287e-01 3.893590e-01
-1.500000e-01 -6.139287e-01 3.593477e-01
-1.350000e-01 -6.139287e-01 3.294904e-01
-1.200000e-01 -6.139287e-01 3.005925e-01
-1.050000e-01 -6.139287e-01 2.734367e-01
-9.000000e-02 -6.139287e-01 2.486533e-01
-7.500000e-02 -6.139287e-01 2.265691e-01
-6.000000e-02 -6.139287e-01 2.070602e-01
-4.500000e-02 -6.139287e-01 1.895997e-01
-3.000000e-02 -6.139287e-01 1.741117e-01
-1.500000e-02 -6.139287e-01 1.625138e-01
5.551115e-17 -6.139287e-01 1.581117e-01
1.500000e-02 -6.139287e-01 1.625138e-01
3.000000e-02 -6.139287e-01 1.741117e-01
4.500000e-02 -6.139287e-01 1.895997e-01
6.000000e-02 -6.139287e-01 2.070602e-01
7.500000e-02 -6.139287e-01 2.265691e-01
9.000000e-02 -6.139287e-01 2.486533e-01
1.050000e-01 -6.139287e-01 2.734367e-01
1.200000e-01 -6.139287e-01 3.005925e-01
1.350000e-01 -6.139287e-01 3.294904e-01
1.500000e-01 -6.139287e-01 3.593477e-01
1.650000e-01 -6.139287e-01 3.893590e-01
1.800000e-01 -6.139287e-01 4.187963e-01
1.950000e-01 -6.139287e-01 4.470695e-01
2.100000e-01 -6.139287e-01 4.737500e-01
2.250000e-01 -6.139287e-01 4.985630e-01
2.400000e-01 -6.139287e-01 5.213645e-01
2.550000e-01 -6.139287e-01 5.421107e-01
2.700000e-01 -6.139287e-01 5.608283e-01
2.850000e-01 -6.139287e-01 5.775893e-01
3.000000e-01 -6.139287e-01 5.924922e-01
-3.000000e-01 -6.002645e-01 6.414070e-01
-2.850000e-01 -6.002645e-01 6.246628e-01
-2.700000e-01 -6.002645e-01 6.058591e-01
-2.550000e-01 -6.002645e-01 5.848961e-01
-2.400000e-01 -6.002645e-01 5.617063e-01
-2.250000e-01 -6.002645e-01 5.362749e-01
-2.100000e-01 -6.002645e-01 5.086681e-01
-1.950000e-01 -6.002645e-01 4.790649e-01
-1.800000e-01 -6.002645e-01 4.477894e-01
-1.650000e-01 -6.002645e-01 4.153339e-01
-1.500000e-01 -6.002645e-01 3.823631e-01
-1.350000e-01 -6.002645e-01 3.496848e-01
-1.200000e-01 -6.002645e-01 3.181800e-01
-1.050000e-01 -6.002645e-01 2.886927e-01
-9.000000e-02 -6.002645e-01 2.618913e-01
-7.500000e-02 -6.002645e-01 2.381118e-01
-6.000000e-02 -6.002645e-01 2.172087e-01
-4.500000e-02 -6.002645e-01 1.986102e-01
-3.000000e-02 -6.002645e-01 1.822121e-01
-1.500000e-02 -6.002645e-01 1.699862e-01
5.551115e-17 -6.002645e-01 1.653552e-01
1.500000e-02 -6.002645e-01 1.699862e-01
3.000000e-02 -6.002645e-01 1.822121e-01
