# MAPbI3 n=3 superfluid scan | Eg=2.178282 eV  Ex=1.991594 eV  binding=186.7 meV | density n = G_DEG * INT d2k/(2pi)^2 f_c (Kramers degeneracy G_DEG=2)
# target_n=2.000e+11 cm^-2  n=3.086852e+11 cm^-2  dmu=1.994100 eV  BEC
# kx_invA  omega_eV  A_kw
-3.000000e-01 -6.275930e-01 5.494448e-01
-2.850000e-01 -6.275930e-01 5.361379e-01
-2.700000e-01 -6.275930e-01 5.211647e-01
-2.550000e-01 -6.275930e-01 5.044250e-01
-2.400000e-01 -6.275930e-01 4.858413e-01
-2.250000e-01 -6.275930e-01 4.653761e-01
-2.100000e-01 -6.275930e-01 4.430548e-01
-1.950000e-01 -6.275930e-01 4.189922e-01
-1.800000e-01 -6.275930e-01 3.934219e-01
-1.650000e-01 -6.275930e-01 3.667193e-01
-1.500000e-01 -6.275930e-01 3.394123e-01
-1.350000e-01 -6.275930e-01 3.121645e-01
-1.200000e-01 -6.275930e-01 2.857264e-01
-1.050000e-01 -6.275930e-01 2.608524e-01
-9.000000e-02 -6.275930e-01 2.381971e-01
-7.500000e-02 -6.275930e-01 2.182070e-01
-6.000000e-02 -6.275930e-01 2.010262e-01
-4.500000e-02 -6.275930e-01 1.864906e-01
-3.000000e-02 -6.275930e-01 1.744897e-01
-1.500000e-02 -6.275930e-01 1.658787e-01
5.551115e-17 -6.275930e-01 1.626285e-01
1.500000e-02 -6.275930e-01 1.658787e-01
3.000000e-02 -6.275930e-01 1.744897e-01
4.500000e-02 -6.275930e-01 1.864906e-01
6.000000e-02 -6.275930e-01 2.010262e-01
7.500000e-02 -6.275930e-01 2.182070e-01
9.000000e-02 -6.275930e-01 2.381971e-01
1.050000e-01 -6.275930e-01 2.608524e-01
1.200000e-01 -6.275930e-01 2.857264e-01
1.350000e-01 -6.275930e-01 3.121645e-01
1.500000e-01 -6.275930e-01 3.394123e-01
1.650000e-01 -6.275930e-01 3.667193e-01
1.800000e-01 -6.275930e-01 3.934219e-01
1.950000e-01 -6.275930e-01 4.189922e-01
2.100000e-01 -6.275930e-01 4.430548e-01
2.250000e-01 -6.275930e-01 4.653761e-01
2.400000e-01 -6.275930e-01 4.858413e-01
2.550000e-01 -6.275930e-01 5.044250e-01
2.700000e-01 -6.275930e-01 5.211647e-01
2.850000e-01 -6.275930e-01 5.361379e-01
3.000000e-01 -6.275930e-01 5.494448e-01
-3.000000e-01 -6.139287e-01 5.931050e-01
-2.850000e-01 -6.139287e-01 5.782144e-01
-2.700000e-01 -6.139287e-01 5.614826e-01
-2.550000e-01 -6.139287e-01 5.428065e-01
-2.400000e-01 -6.139287e-01 5.221108e-01
-2.250000e-01 -6.139287e-01 4.993665e-01
-2.100000e-01 -6.139287e-01 4.746162e-01
-1.950000e-01 -6.139287e-01 4.480038e-01
-1.800000e-01 -6.139287e-01 4.198039e-01
-1.650000e-01 -6.139287e-01 3.904466e-01
-1.500000e-01 -6.139287e-01 3.605247e-01
-1.350000e-01 -6.139287e-01 3.307728e-01
-1.200000e-01 -6.139287e-01 3.020101e-01
-1.050000e-01 -6.139287e-01 2.750489e-01
-9.000000e-02 -6.139287e-01 2.505831e-01
-7.500000e-02 -6.139287e-01 2.290753e-01
-6.000000e-02 -6.139287e-01 2.106622e-01
-4.500000e-02 -6.139287e-01 1.951534e-01
-3.000000e-02 -6.139287e-01 1.824128e-01
-1.500000e-02 -6.139287e-01 1.733107e-01
5.551115e-17 -6.139287e-01 1.698832e-01
1.500000e-02 -6.139287e-01 1.733107e-01
3.000000e-02 -6.139287e-01 1.824128e-01
4.500000e-02 -6.139287e-01 1.951534e-01
6.000000e-02 -6.139287e-01 2.106622e-01
7.500000e-02 -6.139287e-01 2.290753e-01
9.000000e-02 -6.139287e-01 2.505831e-01
1.050000e-01 -6.139287e-01 2.750489e-01
1.200000e-01 -6.139287e-01 3.020101e-01
1.350000e-01 -6.139287e-01 3.307728e-01
1.500000e-01 -6.139287e-01 3.605247e-01
1.650000e-01 -6.139287e-01 3.904466e-01
