# MAPbI3 n=3 superfluid scan | Eg=2.178282 eV  Ex=1.991594 eV  binding=186.7 meV | density n = G_DEG * INT d2k/(2pi)^2 f_c (Kramers degeneracy G_DEG=2)
# target_n=5.000e+12 cm^-2  n=4.756767e+12 cm^-2  dmu=2.033600 eV  inverted
# kx_invA  omega_eV  A_kw
2.400000e-01 -6.002645e-01 5.503443e-01
2.550000e-01 -6.002645e-01 5.742573e-01
2.700000e-01 -6.002645e-01 5.957897e-01
2.850000e-01 -6.002645e-01 6.149633e-01
3.000000e-01 -6.002645e-01 6.318378e-01
-3.000000e-01 -5.866002e-01 6.857289e-01
-2.850000e-01 -5.866002e-01 6.667030e-01
-2.700000e-01 -5.866002e-01 6.451204e-01
-2.550000e-01 -5.866002e-01 6.209289e-01
-2.400000e-01 -5.866002e-01 5.941208e-01
-2.250000e-01 -5.866002e-01 5.647446e-01
-2.100000e-01 -5.866002e-01 5.329255e-01
-1.950000e-01 -5.866002e-01 4.988999e-01
-1.800000e-01 -5.866002e-01 4.630507e-01
-1.650000e-01 -5.866002e-01 4.259254e-01
-1.500000e-01 -5.866002e-01 3.882182e-01
-1.350000e-01 -5.866002e-01 3.506925e-01
-1.200000e-01 -5.866002e-01 3.140042e-01
-1.050000e-01 -5.866002e-01 2.783527e-01
-9.000000e-02 -5.866002e-01 2.428498e-01
-7.500000e-02 -5.866002e-01 2.050157e-01
-6.000000e-02 -5.866002e-01 1.636623e-01
-4.500000e-02 -5.866002e-01 1.259017e-01
-3.000000e-02 -5.866002e-01 1.004192e-01
-1.500000e-02 -5.866002e-01 8.723350e-02
5.551115e-17 -5.866002e-01 8.326938e-02
1.500000e-02 -5.866002e-01 8.723350e-02
3.000000e-02 -5.866002e-01 1.004192e-01
4.500000e-02 -5.866002e-01 1.259017e-01
6.000000e-02 -5.866002e-01 1.636623e-01
7.500000e-02 -5.866002e-01 2.050157e-01
9.000000e-02 -5.866002e-01 2.428498e-01
1.050000e-01 -5.866002e-01 2.783527e-01
1.200000e-01 -5.866002e-01 3.140042e-01
1.350000e-01 -5.866002e-01 3.506925e-01
1.500000e-01 -5.866002e-01 3.882182e-01
1.650000e-01 -5.866002e-01 4.259254e-01
1.800000e-01 -5.866002e-01 4.630507e-01
1.950000e-01 -5.866002e-01 4.988999e-01
2.100000e-01 -5.866002e-01 5.329255e-01
2.250000e-01 -5.866002e-01 5.647446e-01
2.400000e-01 -5.866002e-01 5.941208e-01
2.550000e-01 -5.866002e-01 6.209289e-01
2.700000e-01 -5.866002e-01 6.451204e-01
2.850000e-01 -5.866002e-01 6.667030e-01
3.000000e-01 -5.866002e-01 6.857289e-01
-3.000000e-01 -5.729359e-01 7.466838e-01
-2.850000e-01 -5.729359e-01 7.251323e-01
-2.700000e-01 -5.729359e-01 7.007279e-01
-2.550000e-01 -5.729359e-01 6.734290e-01
-2.400000e-01 -5.729359e-01 6.432477e-01
-2.250000e-01 -5.729359e-01 6.102620e-01
-2.100000e-01 -5.729359e-01 5.746390e-01
-1.950000e-01 -5.729359e-01 5.366715e-01
-1.800000e-01 -5.729359e-01 4.968159e-01
-1.650000e-01 -5.729359e-01 4.557081e-01
-1.500000e-01 -5.729359e-01 4.141402e-01
-1.350000e-01 -5.729359e-01 3.729722e-01
-1.200000e-01 -5.729359e-01 3.329390e-01
-1.050000e-01 -5.729359e-01 2.942806e-01
-9.000000e-02 -5.729359e-01 2.560825e-01
-7.500000e-02 -5.729359e-01 2.157532e-01
-6.000000e-02 -5.729359e-01 1.720319e-01
-4.500000e-02 -5.729359e-01 1.322919e-01
-3.000000e-02 -5.729359e-01 1.055244e-01
-1.500000e-02 -5.729359e-01 9.168406e-02
5.551115e-17 -5.729359e-01 8.752435e-02
1.500000e-02 -5.729359e-01 9.168406e-02
3.000000e-02 -5.729359e-01 1.055244e-01
4.500000e-02 -5.729359e-01 1.322919e-01
6.000000e-02 -5.729359e-01 1.720319e-01
7.500000e-02 -5.729359e-01 2.157532e-01
9.000000e-02 -5.729359e-01 2.560825e-01
1.050000e-01 -5.729359e-01 2.942806e-01
1.200000e-01 -5.729359e-01 3.329390e-01
1.350000e-01 -5.729359e-01 3.729722e-01
1.500000e-01 -5.729359e-01 4.141402e-01
1.650000e-01 -5.729359e-01 4.557081e-01
1.800000e-01 -5.729359e-01 4.968159e-01
1.950000e-01 -5.729359e-01 5.366715e-01
2.100000e-01 -5.729359e-01 5.746390e-01
2.250000e-01 -5.729359e-01 6.102620e-01
2.400000e-01 -5.729359e-01 6.432477e-01
2.550000e-01 -5.729359e-01 6.734290e-01
2.700000e-01 -5.729359e-01 7.007279e-01
2.850000e-01 -5.729359e-01 7.251323e-01
3.000000e-01 -5.729359e-01 7.466838e-01
-3.000000e-01 -5.592716e-01 8.159646e-01
-2.850000e-01 -5.592716e-01 7.914305e-01
-2.700000e-01 -5.592716e-01 7.637013e-01
-2.550000e-01 -5.592716e-01 7.327506e-01
-2.400000e-01 -5.592716e-01 6.986170e-01
-2.250000e-01 -5.592716e-01 6.614167e-01
-2.100000e-01 -5.592716e-01 6.213689e-01
-1.950000e-01 -5.592716e-01 5.788361e-01
-1.800000e-01 -5.592716e-01 5.343624e-01
-1.650000e-01 -5.592716e-01 4.886881e-01
-1.500000e-01 -5.592716e-01 4.427187e-01
-1.350000e-01 -5.592716e-01 3.974233e-01
-1.200000e-01 -5.592716e-01 3.536248e-01
-1.050000e-01 -5.592716e-01 3.116060e-01
-9.000000e-02 -5.592716e-01 2.704217e-01
-7.500000e-02 -5.592716e-01 2.273563e-01
-6.000000e-02 -5.592716e-01 1.810653e-01
-4.500000e-02 -5.592716e-01 1.391922e-01
-3.000000e-02 -5.592716e-01 1.110447e-01
